# Misak Sargsian (MS AV18) d(e,e p)n theory reduced cross-sections 
# 
# thnq                : 75 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
# pm_avg              : average missing momentum value in central bin (GeV/c) 
# red_theoryXsec_pwia : reduced PWIA theory cross-sections (fm^3) 
# red_theoryXsec_fsi  : reduced FSI  theory cross-sections (fm^3) 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    red_theoryXsec_pwia[f,2]/    red_theoryXsec_fsi[f,3]/
0.020    0.032054     5.383995E+00      5.217221E+00 
0.060    0.061312     1.410676E+00      1.323248E+00 
0.100    0.097880     3.016047E-01      2.687624E-01 
0.140    0.137151     7.461067E-02      5.750122E-02 
0.180    0.176925     2.218586E-02      1.341626E-02 
0.220    0.217235     7.573032E-03      4.540886E-03 
0.260    0.258085     2.936168E-03      1.644672E-03 
0.300    0.299686     1.302267E-03      1.182197E-03 
0.340    0.339653     6.910014E-04      9.803391E-04 
0.380    0.379691     4.162868E-04      9.397634E-04 
0.420    0.419340     2.764251E-04      8.629804E-04 
0.460    0.458626     1.948994E-04      5.952679E-04 
0.500    0.498117     1.413865E-04      4.205320E-04 
0.540    0.537633     1.039904E-04      2.995760E-04 
0.580    0.576881     7.701664E-05      1.975578E-04 
0.620    0.615864     5.711722E-05      1.308101E-04 
0.660    0.653612     4.262159E-05      7.872856E-05 
0.700    0.693321     3.123334E-05      4.629988E-05 
0.740    0.734930     2.229111E-05      2.866601E-05 
