# J.W.V. Orden and S. Jeshonnek (JVO WJC2) d(e,e p)n theory reduced cross-sections to MS CD-Bonn PWIA 
# 
# thnq                : 35 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020    0.031807     9.765321E-01      9.450908E-01 
0.060    0.062170     9.754570E-01      9.266878E-01 
0.100    0.099140     9.736618E-01      8.999365E-01 
0.140    0.138748     9.715409E-01      8.721686E-01 
0.180    0.177804     9.709470E-01      8.504807E-01 
0.220    0.217658     9.785418E-01      8.393950E-01 
0.260    0.257537     1.001875E+00      8.463047E-01 
0.300    0.297431     1.054359E+00      8.792642E-01 
0.340    0.337372     1.148424E+00      9.440707E-01 
0.380    0.376119     1.244292E+00      1.006572E+00 
0.420    0.424064     1.627006E+00      1.304396E+00 
0.460    0.464195     1.628660E+00      1.282728E+00 
0.500    0.501928     1.844661E+00      1.424768E+00 
0.540    0.540699     2.110027E+00      1.597831E+00 
0.580    0.582042     2.434920E+00      1.817028E+00 
0.620    0.620893     2.735969E+00      1.999813E+00 
0.660    0.660069     3.024925E+00      2.148176E+00 
0.700    0.699596     3.303064E+00      2.281060E+00 
0.740    0.739075     3.565641E+00      2.379268E+00 
0.780    0.779055     3.827017E+00      2.476072E+00 
0.820    0.818674     4.082600E+00      2.526021E+00 
0.860    0.858392     4.340986E+00      2.594392E+00 
0.900    0.898556     4.610192E+00      2.753949E+00 
0.940    0.938321     4.896125E+00      2.902640E+00 
0.980    0.978108     5.204778E+00      3.129493E+00 
1.020    1.017881     5.534767E+00      3.748808E+00 
1.060    1.057711     5.870039E+00      4.481359E+00 
1.100    1.097022     6.682569E+00      5.641807E+00 
1.140    1.137300     6.539137E+00      6.696649E+00 
1.180    1.173259     6.839109E+00      8.115382E+00 
