# Misak Sargsian (MS CD-Bonn) d(e,e p)n theory reduced cross-sections ratio to MS CD-Bonn PWIA 
# 
# thnq                : 45 +/- 5 deg 
# pm_bin              : central missing momentum bin (GeV/c) 
 # pm_avg              : average missing momentum value in central bin (GeV/c) 
# R_pwia              : reduced PWIA theory cross-sections / MS_CD-Bonn_PWIA 
# R_fsi               : reduced FSI  theory cross-sections / MS_CD-Bonn_PWIA 
# 
#! pm_bin[f,0]/    pm_avg[f,1]/    R_pwia[f,2]/    R_fsi[f,3]/
0.020     0.031473     1.0      9.643401E-01 
0.060     0.062411     1.0      9.432658E-01 
0.100     0.099207     1.0      9.084507E-01 
0.140     0.138440     1.0      8.599066E-01 
0.180     0.178375     1.0      8.020210E-01 
0.220     0.218252     1.0      7.772844E-01 
0.260     0.257816     1.0      7.490440E-01 
0.300     0.297900     1.0      7.153067E-01 
0.340     0.337974     1.0      7.725289E-01 
0.380     0.378275     1.0      8.301604E-01 
0.420     0.431761     1.0      8.680185E-01 
0.460     0.462105     1.0      9.131384E-01 
0.500     0.503398     1.0      9.846671E-01 
0.540     0.541761     1.0      1.018586E+00 
0.580     0.582569     1.0      1.089821E+00 
0.620     0.621252     1.0      1.196331E+00 
0.660     0.661036     1.0      1.342197E+00 
0.700     0.700331     1.0      1.502431E+00 
0.740     0.739832     1.0      1.581234E+00 
0.780     0.779405     1.0      1.797321E+00 
0.820     0.819129     1.0      2.159613E+00 
0.860     0.858869     1.0      2.642852E+00 
0.900     0.898569     1.0      3.257114E+00 
0.940     0.938461     1.0      3.847486E+00 
0.980     0.978123     1.0      4.964890E+00 
1.020     1.017957     1.0      5.565604E+00 
1.060     1.057468     1.0      6.405957E+00 
1.100     1.097505     1.0      7.603864E+00 
1.140     1.137289     1.0      8.296007E+00 
1.180     1.173123     1.0      8.821274E+00 
