#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
7   1   65.000000   0.020000   0.031158   2467.870400  1.800130370000e-03   1.739840580000e-03    7.294266222408e-07   7.049967372679e-07   80
7   2   65.000000   0.060000   0.061567   2442.105359  4.451360470000e-04   4.212303470000e-04    1.822755293335e-07   1.724865577350e-07   80
7   3   65.000000   0.100000   0.098469   2392.246813  9.278716280000e-05   8.236347960000e-05    3.878661779202e-08   3.442934029734e-08   80
7   4   65.000000   0.140000   0.137522   2301.017774  2.257331090000e-05   1.820283700000e-05    9.810141909838e-09   7.910776355437e-09   80
7   5   65.000000   0.180000   0.177716   2234.399218  6.562913890000e-06   4.872795580000e-06    2.937216338571e-09   2.180807950856e-09   80
7   6   65.000000   0.220000   0.217850   2198.224040  2.261735200000e-06   1.303936120000e-06    1.028892032315e-09   5.931770812587e-10   80
7   7   65.000000   0.260000   0.258873   2181.679779  8.764774800000e-07   5.235448480000e-07    4.017443295009e-10   2.399732779482e-10   80
7   8   65.000000   0.300000   0.299371   2185.762836  3.902496100000e-07   2.385921630000e-07    1.785416073384e-10   1.091573884734e-10   80
7   9   65.000000   0.340000   0.339830   2193.366258  1.937835370000e-07   1.688264760000e-07    8.834983044587e-11   7.697140201014e-11   80
7   10   65.000000   0.380000   0.379859   2214.319928  1.067928670000e-07   1.439956870000e-07    4.822829151723e-11   6.502930546719e-11   80
7   11   65.000000   0.420000   0.419719   2251.164902  6.377195570000e-08   1.220683230000e-07    2.832842482723e-11   5.422451411336e-11   80
7   12   65.000000   0.460000   0.459623   2288.382047  4.007320480000e-08   1.140663620000e-07    1.751158852716e-11   4.984585600535e-11   80
7   13   65.000000   0.500000   0.499139   2331.278683  2.623797770000e-08   1.026965010000e-07    1.125475812537e-11   4.405157639405e-11   80
7   14   65.000000   0.540000   0.538416   2380.104447  1.761738960000e-08   1.059712990000e-07    7.401939701514e-12   4.452380194221e-11   80
7   15   65.000000   0.580000   0.577658   2421.701128  1.197110490000e-08   8.008142560000e-08    4.943262717925e-12   3.306825300368e-11   80
7   16   65.000000   0.620000   0.616164   2471.171316  8.297378200000e-09   6.578247990000e-08    3.357670164864e-12   2.661995931811e-11   80
7   17   65.000000   0.660000   0.654701   2541.797929  5.824515130000e-09   3.911013900000e-08    2.291494167788e-12   1.538680103315e-11   80
7   18   65.000000   0.700000   0.693899   2742.970239  4.246668420000e-09   2.136883140000e-08    1.548200691214e-12   7.790398559990e-12   80
7   19   65.000000   0.740000   0.730680   2937.371589  3.134632250000e-09   1.218939760000e-08    1.067155501108e-12   4.149763566056e-12   80
7   20   65.000000   0.780000   0.761703   3603.602497  2.799704440000e-09   5.815816110000e-09    7.769182206780e-13   1.613889466122e-12   80
