#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
5   1   45.000000   0.020000   0.031454   2432.505620  1.751023560000e-03   1.751023560000e-03    7.198435825197e-07   7.198435825197e-07   80
5   2   45.000000   0.060000   0.062944   2346.817229  4.110759280000e-04   4.110759280000e-04    1.751631626529e-07   1.751631626529e-07   80
5   3   45.000000   0.100000   0.099068   2205.531289  8.327856450000e-05   8.327856450000e-05    3.775895853999e-08   3.775895853999e-08   80
5   4   45.000000   0.140000   0.138875   2055.294914  1.954949190000e-05   1.954949190000e-05    9.511769706058e-09   9.511769706058e-09   80
5   5   45.000000   0.180000   0.178310   1940.422854  5.587268830000e-06   5.587268830000e-06    2.879407866426e-09   2.879407866426e-09   80
5   6   45.000000   0.220000   0.217970   1831.332721  1.864825610000e-06   1.864825610000e-06    1.018288806079e-09   1.018288806079e-09   80
5   7   45.000000   0.260000   0.257825   1737.787372  7.138050790000e-07   7.138050790000e-07    4.107551306340e-10   4.107551306340e-10   80
5   8   45.000000   0.300000   0.297723   1661.427333  3.036864400000e-07   3.036864400000e-07    1.827864715886e-10   1.827864715886e-10   80
5   9   45.000000   0.340000   0.337703   1597.103550  1.453122500000e-07   1.453122500000e-07    9.098486444414e-11   9.098486444414e-11   80
5   10   45.000000   0.380000   0.378097   1547.496688  7.650332150000e-08   7.650332150000e-08    4.943682406124e-11   4.943682406124e-11   80
5   11   45.000000   0.420000   0.417853   1513.559243  4.378202190000e-08   4.378202190000e-08    2.892653333689e-11   2.892653333689e-11   80
5   11   45.000000   0.420000   0.431150   6788.237568  1.751887800000e-07   1.751887800000e-07    2.580769724764e-11   2.580769724764e-11   580_set1
5   11   45.000000   0.420000   0.430623   6769.884414  1.724763810000e-07   1.724763810000e-07    2.547700528584e-11   2.547700528584e-11   580_set2
5   12   45.000000   0.460000   0.457617   1489.361137  2.673154140000e-08   2.673154140000e-08    1.794832746465e-11   1.794832746465e-11   80
5   12   45.000000   0.460000   0.466527   6403.218891  1.089112390000e-07   1.089112390000e-07    1.700882647524e-11   1.700882647524e-11   580_set1
5   12   45.000000   0.460000   0.466827   6377.273054  1.085557420000e-07   1.085557420000e-07    1.702228226403e-11   1.702228226403e-11   580_set2
5   13   45.000000   0.500000   0.497535   1481.507228  1.689593120000e-08   1.689593120000e-08    1.140455536137e-11   1.140455536137e-11   80
5   13   45.000000   0.500000   0.503347   6132.704914  7.002482560000e-08   7.002482560000e-08    1.141826104174e-11   1.141826104174e-11   580_set2
5   13   45.000000   0.500000   0.503442   6125.170007  6.985889380000e-08   6.985889380000e-08    1.140521711563e-11   1.140521711563e-11   580_set1
5   14   45.000000   0.540000   0.536888   1481.901691  1.101437400000e-08   1.101437400000e-08    7.432594258373e-12   7.432594258373e-12   80
5   14   45.000000   0.540000   0.541745   5938.775873  4.546026140000e-08   4.546026140000e-08    7.654820180482e-12   7.654820180482e-12   580_set1
5   14   45.000000   0.540000   0.541842   5931.458331  4.523666200000e-08   4.523666200000e-08    7.626566600591e-12   7.626566600591e-12   580_set2
5   14   45.000000   0.540000   0.550031   7905.727688  5.442077670000e-08   5.442077670000e-08    6.883715054163e-12   6.883715054163e-12   750_set3
5   14   45.000000   0.540000   0.549361   8015.010471  5.385478960000e-08   5.385478960000e-08    6.719241327863e-12   6.719241327863e-12   750_set2
5   14   45.000000   0.540000   0.550139   7961.249326  5.368038270000e-08   5.368038270000e-08    6.742708399383e-12   6.742708399383e-12   750_set1
5   15   45.000000   0.580000   0.576321   1483.715288  7.386406880000e-09   7.386406880000e-09    4.978318239180e-12   4.978318239180e-12   80
5   15   45.000000   0.580000   0.580712   5749.775380  2.964319850000e-08   2.964319850000e-08    5.155540267383e-12   5.155540267383e-12   580_set1
5   15   45.000000   0.580000   0.580684   5748.892506  2.964938060000e-08   2.964938060000e-08    5.157407373517e-12   5.157407373517e-12   580_set2
5   15   45.000000   0.580000   0.586545   7464.120616  3.637059410000e-08   3.637059410000e-08    4.872723254503e-12   4.872723254503e-12   750_set2
5   15   45.000000   0.580000   0.586107   7463.340438  3.618714210000e-08   3.618714210000e-08    4.848652208835e-12   4.848652208835e-12   750_set1
5   15   45.000000   0.580000   0.586630   7476.690259  3.585695100000e-08   3.585695100000e-08    4.795832080490e-12   4.795832080490e-12   750_set3
5   16   45.000000   0.620000   0.614087   1495.146293  5.031376150000e-09   5.031376150000e-09    3.365139701416e-12   3.365139701416e-12   80
5   16   45.000000   0.620000   0.620086   5568.014750  1.932297460000e-08   1.932297460000e-08    3.470352624335e-12   3.470352624335e-12   580_set2
5   16   45.000000   0.620000   0.620037   5559.842556  1.932580210000e-08   1.932580210000e-08    3.475962116795e-12   3.475962116795e-12   580_set1
