#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_pwiaXsec_theory[f,2]/    red_fsiXsec_theory[f,3]/
75.000000   0.032054   6.953553122163e-07   6.953553122163e-07
75.000000   0.061312   1.827328778770e-07   1.827328778770e-07
75.000000   0.097880   3.933611077418e-08   3.933611077418e-08
75.000000   0.137151   9.852707623744e-09   9.852707623744e-09
75.000000   0.176925   2.983925139309e-09   2.983925139309e-09
75.000000   0.217235   1.039410202580e-09   1.039410202580e-09
75.000000   0.258085   4.071938841543e-10   4.071938841543e-10
75.000000   0.299686   1.772139070600e-10   1.772139070600e-10
75.000000   0.339653   8.861491621463e-11   8.861491621463e-11
75.000000   0.379691   4.845248441101e-11   4.845248441101e-11
75.000000   0.419340   2.859308496312e-11   2.859308496312e-11
75.000000   0.458626   1.782305067183e-11   1.782305067183e-11
75.000000   0.498117   1.146438493309e-11   1.146438493309e-11
75.000000   0.537633   7.530397608329e-12   7.530397608329e-12
75.000000   0.576881   5.026672942137e-12   5.026672942137e-12
75.000000   0.615864   3.386621971688e-12   3.386621971688e-12
75.000000   0.653612   2.316191779246e-12   2.316191779246e-12
75.000000   0.693321   1.555525949399e-12   1.555525949399e-12
75.000000   0.734930   1.018543814531e-12   1.018543814531e-12
