#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
6   1   55.000000   0.020000   0.031717   2449.765926  1.742454710000e-03   1.686949950000e-03    7.112739594860e-07   6.886167907293e-07   80
6   2   55.000000   0.060000   0.062179   2393.338512  4.228420100000e-04   3.990005190000e-04    1.766745522541e-07   1.667129480428e-07   80
6   3   55.000000   0.100000   0.099276   2295.564445  8.549886320000e-05   7.667185210000e-05    3.724524632111e-08   3.339999984187e-08   80
6   4   55.000000   0.140000   0.138326   2171.170679  2.031419180000e-05   1.684582710000e-05    9.356331124256e-09   7.758868182468e-09   80
6   5   55.000000   0.180000   0.178549   2081.889565  5.742000100000e-06   4.156956670000e-06    2.758071415762e-09   1.996722948174e-09   80
6   6   55.000000   0.220000   0.218425   2026.440551  1.937196370000e-06   1.355847000000e-06    9.559601287312e-10   6.690781031454e-10   80
6   7   55.000000   0.260000   0.258683   1961.633292  7.389005420000e-07   4.962189790000e-07    3.766761835728e-10   2.529621520106e-10   80
6   8   55.000000   0.300000   0.298811   1911.210187  3.281823100000e-07   2.399626970000e-07    1.717143997203e-10   1.255553672915e-10   80
6   9   55.000000   0.340000   0.338861   1875.464841  1.698972280000e-07   1.429135650000e-07    9.058939644500e-11   7.620167644614e-11   80
6   10   55.000000   0.380000   0.379081   1854.924087  1.005874870000e-07   9.994265440000e-08    5.422727954473e-11   5.387964666610e-11   80
6   11   55.000000   0.420000   0.419002   1839.559466  6.585655360000e-08   7.642725860000e-08    3.580017651900e-11   4.154650067724e-11   80
6   12   55.000000   0.460000   0.458809   1836.274929  4.603780430000e-08   6.139409910000e-08    2.507130254459e-11   3.343404526763e-11   80
6   12   55.000000   0.460000   0.469776   7049.917519  1.704513280000e-07   1.743661310000e-07    2.417777619960e-11   2.473307390194e-11   580_set1
6   12   55.000000   0.460000   0.473040   7129.035848  1.677614900000e-07   1.721043740000e-07    2.353214285590e-11   2.414132537267e-11   580_set2
6   13   55.000000   0.500000   0.498534   1839.983238  3.333967180000e-08   5.064589160000e-08    1.811955191300e-11   2.752519183547e-11   80
6   13   55.000000   0.500000   0.505825   6832.999337  1.245877970000e-07   1.390844140000e-07    1.823325173257e-11   2.035481157548e-11   580_set1
6   13   55.000000   0.500000   0.506646   6825.528832  1.237068400000e-07   1.307666450000e-07    1.812413998166e-11   1.915846350058e-11   580_set2
6   14   55.000000   0.540000   0.537759   1854.036878  2.470358090000e-08   4.082448040000e-08    1.332421225982e-11   2.201923860546e-11   80
6   14   55.000000   0.540000   0.543194   6629.408550  9.107910840000e-08   1.060728360000e-07    1.373864768072e-11   1.600034681827e-11   580_set1
6   14   55.000000   0.540000   0.544209   6605.976995  9.008036550000e-08   1.039634120000e-07    1.363619122019e-11   1.573777990427e-11   580_set2
6   15   55.000000   0.580000   0.577104   1854.997974  1.825702560000e-08   3.471860290000e-08    9.842073067407e-12   1.871624842001e-11   80
6   15   55.000000   0.580000   0.581471   6620.647004  6.814977530000e-08   8.461126690000e-08    1.029352195621e-11   1.277990910086e-11   580_set1
