#theta_nq = 105 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/   red_dataXsec_avg_stat_err[f,3]/   red_dataXsec_avg_syst_err[f,4]/   red_dataXsec_avg_tot_err[f,5]/   rel_stats_err[f,6]/   rel_norm_syst[f,7]/   rel_kin_syst[f,8]/   rel_syst_tot[f,9]/   rel_tot_err[f,10]/   Ei_avg[f, 11]/   kf_avg[f,12]/   the_avg[f,13]/   pf_avg[f,14]/   nu_avg[f,15]/   Q2_avg[f,16]/   q_avg[f,17]/ 
0.02000         0.03242       5.00217E+00              4.54665E-01                       2.11863E-01                       5.01603E-01                      0.09089               0.03661               0.02130              0.04235              0.10028              10.59860         8.63096         11.44199         2.74733         1.96765         3.63598         2.74001              
0.06000         0.06117       1.37670E+00              6.03078E-02                       6.33540E-02                       8.74687E-02                      0.04381               0.03661               0.02788              0.04602              0.06353              10.59875         8.62646         11.37568         2.75073         1.97229         3.59228         2.73536              
0.10000         0.09864       2.85852E-01              1.05804E-02                       1.50303E-02                       1.83808E-02                      0.03701               0.03661               0.03774              0.05258              0.06430              10.59876         8.59329         11.36715         2.78241         2.00547         3.57312         2.75591              
0.14000         0.13812       7.19599E-02              3.11192E-03                       4.00845E-03                       5.07461E-03                      0.04324               0.03661               0.04198              0.05570              0.07052              10.59880         8.54686         11.37970         2.82622         2.05195         3.56165         2.78786              
0.18000         0.17839       2.00752E-02              1.23437E-03                       1.09545E-03                       1.65036E-03                      0.06149               0.03661               0.04046              0.05457              0.08221              10.59869         8.50266         11.35598         2.86560         2.09604         3.52849         2.81458              
0.22000         0.21824       8.52878E-03              6.95450E-04                       4.55456E-04                       8.31319E-04                      0.08154               0.03661               0.03888              0.05340              0.09747              10.59868         8.46034         11.30296         2.90144         2.13835         3.47832         2.83740              
0.26000         0.25817       3.73318E-03              4.26294E-04                       1.87961E-04                       4.65892E-04                      0.11419               0.03661               0.03456              0.05035              0.12480              10.59869         8.41991         11.21779         2.93361         2.17878         3.40990         2.85604              
0.30000         0.29819       2.10924E-03              3.12622E-04                       9.94710E-05                       3.28065E-04                      0.14822               0.03661               0.02973              0.04716              0.15554              10.59868         8.37936         11.11843         2.96423         2.21932         3.33381         2.87388              
0.34000         0.33790       1.09192E-03              2.44881E-04                       4.82998E-05                       2.49598E-04                      0.22427               0.03661               0.02482              0.04423              0.22859              10.59871         8.33909         11.00772         2.99314         2.25962         3.25226         2.89105              
0.38000         0.37678       4.41898E-04              1.97881E-04                       1.84447E-05                       1.98739E-04                      0.44780               0.03661               0.02005              0.04174              0.44974              10.59873         8.30283         10.90171         3.01666         2.29589         3.17624         2.90644              
