#theta_nq = 15 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.02958       2.63471E-03              18.90511             5.14163              19.59182             
0.06000         0.05397       9.55828E-04              13.00550             6.57038              14.57097             
0.10000         0.08841       3.32310E-04              24.48833             7.75260              25.68620             
0.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.22000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.26000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.30000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.34000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.38000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.42000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.46000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.50000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.54000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.58000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.62000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
