#theta_nq = 95 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%],  all(*_err) are absolute. 
#pm_bin: central bin with +/- 0.02 GeV. The pwia/fsi Xsec are from Laget calculation. red_dataXsec_avg with nan values have > 50%% stats uncertainty should be ignored.
#Each of the quantities here have been averaged over overlapping (Pm, thnq) bins for Pm=80, 580(sets 1,2) and 750(sets 1,2,3). Energy and angle units are in [Gev] and [deg]  
#!pm_bin[i,0]/  pm_avg[f,1]/  red_dataXsec_avg[f,2]/   red_dataXsec_avg_stat_err[f,3]/   red_dataXsec_avg_syst_err[f,4]/   red_dataXsec_avg_tot_err[f,5]/   rel_stats_err[f,6]/   rel_norm_syst[f,7]/   rel_kin_syst[f,8]/   rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03213       5.03786E+00              4.53042E-01                       1.92735E-01                       4.92335E-01                      0.08993               0.03661               0.01110              0.03826              0.09773              
0.06000         0.06053       1.50083E+00              6.40702E-02                       6.24405E-02                       8.94640E-02                      0.04269               0.03661               0.01976              0.04160              0.05961              
0.10000         0.09861       2.56864E-01              9.33501E-03                       1.14963E-02                       1.48091E-02                      0.03634               0.03661               0.02574              0.04476              0.05765              
0.14000         0.13869       5.57178E-02              2.44250E-03                       2.66092E-03                       3.61196E-03                      0.04384               0.03661               0.03067              0.04776              0.06483              
0.18000         0.17838       1.64757E-02              1.03194E-03                       7.88788E-04                       1.29888E-03                      0.06263               0.03661               0.03085              0.04788              0.07884              
0.22000         0.21883       7.18822E-03              5.97653E-04                       3.42142E-04                       6.88658E-04                      0.08314               0.03661               0.03042              0.04760              0.09580              
0.26000         0.25901       2.93957E-03              3.59266E-04                       1.34931E-04                       3.83769E-04                      0.12222               0.03661               0.02769              0.04590              0.13055              
0.30000         0.29899       1.24017E-03              2.23462E-04                       5.42761E-05                       2.29959E-04                      0.18019               0.03661               0.02398              0.04376              0.18543              
0.34000         0.33891       NAN                      1.96230E-04                       3.84886E-05                       1.99969E-04                      0.21364               0.03661               0.02039              0.04190              0.21771              
0.38000         0.37883       NAN                      2.03031E-04                       3.64707E-05                       2.06280E-04                      0.22410               0.03661               0.01673              0.04025              0.22768              
0.42000         0.41818       NAN                      1.44222E-04                       1.50124E-05                       1.45002E-04                      0.37836               0.03661               0.01452              0.03938              0.38040              
0.46000         0.45701       NAN                      1.47177E-04                       9.93554E-06                       1.47512E-04                      0.57779               0.03661               0.01345              0.03900              0.57911              
0.50000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.54000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.58000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.62000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.66000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.70000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.74000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.78000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.82000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.86000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.90000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.94000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
0.98000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
1.02000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
1.06000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
1.10000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
1.14000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
1.18000         nan           NAN                      NAN                               NAN                               NAN                              nan                   nan                   nan                  nan                  nan                  
